chi,chi_nircam,chi_miri,chi_reduced,chi_reduced_full,offset,offset_reduced_full,run
1.110476,1.076388,1.2241,0.697697,1.004744,83,83,249
1.110516,1.074541,1.230434,0.70793,1.005182,83,83,250
1.232004,1.154642,1.489874,0.777092,1.083214,89,89,251
1.227931,1.150116,1.487315,0.774084,1.078974,89,89,252
1.206819,1.016347,1.841723,0.84673,0.984258,84,84,253
1.114392,0.961027,1.625607,0.629047,0.89822,77,77,254
1.100155,1.018513,1.372296,1.070943,1.028432,76,76,255
1.105208,1.019058,1.392376,1.098899,1.034163,76,76,256
1.109754,1.07571,1.223236,0.698463,1.004339,83,83,257
1.109962,1.073935,1.230053,0.709696,1.005025,83,83,258
1.228525,1.153167,1.479718,0.771039,1.080872,89,89,259
1.224424,1.148698,1.476845,0.767827,1.076641,89,89,260
1.057701,0.974803,1.334027,0.489977,0.883079,78,78,261
0.957192,0.898745,1.152015,0.450696,0.813979,67,67,262
1.169205,1.023541,1.654749,1.477408,1.109408,75,75,263
1.178204,1.024016,1.692163,1.527737,1.119315,75,75,264
1.096088,1.05469,1.234082,0.813043,1.008973,80,80,265
1.100011,1.05376,1.254179,0.84062,1.013437,80,80,266
1.133102,1.112158,1.202918,0.635839,1.022044,84,84,267
1.131651,1.112672,1.194915,0.632577,1.021844,84,84,268
1.298211,1.085117,2.008525,1.111997,1.090203,91,91,269
1.266894,1.075039,1.906408,1.068885,1.073875,88,88,270
1.796746,1.236612,3.66386,4.167491,1.791102,75,75,271
1.817309,1.239757,3.742481,4.270174,1.813079,75,75,272
1.403282,1.052522,2.57248,2.673136,1.359125,77,77,273
1.421101,1.053863,2.645228,2.768339,1.378223,77,77,274
1.18043,1.024963,1.69865,1.413282,1.098429,80,80,275
1.196811,1.025519,1.767784,1.500805,1.115438,80,80,276
1.30557,1.150427,1.822713,1.023468,1.126408,93,93,277
1.322495,1.161095,1.860495,1.083964,1.146502,93,93,278
3.218626,2.274022,6.367304,7.449543,3.253175,84,84,279
3.249703,2.285652,6.463208,7.575478,3.28643,84,84,280
2.966568,2.145057,5.704939,6.54343,2.977181,85,85,281
2.998629,2.158359,5.799527,6.667246,3.011392,85,85,282
2.700592,1.955,5.185899,5.785991,2.679782,88,88,283
2.744913,1.9757,5.308958,5.941687,2.726022,88,88,284
1.237384,1.216638,1.306539,0.657248,1.110807,91,91,285
1.280656,1.16022,1.682108,0.918198,1.114432,93,93,286
1.877771,1.552104,2.963325,3.022079,1.830208,85,85,287
1.987704,1.597469,3.288486,3.302235,1.919992,88,88,288
1.549566,1.295025,2.398035,2.257749,1.477162,82,82,289
1.756193,1.411014,2.906791,2.952651,1.702675,83,83,290
1.565323,1.299386,2.451779,2.026723,1.43699,89,89,291
1.770427,1.42524,2.921051,2.667036,1.660174,90,90,292
1.205911,1.083963,1.612406,0.847406,1.039209,91,91,293
1.405212,0.989511,2.790882,1.854533,1.153164,95,95,294
1.844889,1.526237,2.907063,2.928192,1.791471,85,85,295
1.868162,1.508554,3.066853,2.953643,1.78195,88,88,296
1.547048,1.293654,2.391694,2.24776,1.47416,82,82,297
1.741213,1.402656,2.869734,2.899425,1.685829,83,83,298
1.559448,1.297185,2.433657,2.006019,1.431289,89,89,299
1.752081,1.416328,2.871258,2.60384,1.640992,90,90,300
1.400229,1.021558,2.662466,1.771954,1.163525,97,97,301
1.501888,0.99923,3.177411,2.255642,1.23693,100,100,302
1.982644,1.598471,3.263219,3.395221,1.938397,89,89,303
1.81121,1.452698,3.006252,2.799707,1.707537,90,90,304
1.66672,1.341784,2.749839,2.749257,1.608063,82,82,305
1.821343,1.423881,3.146216,3.2789,1.77483,83,83,306
1.553251,1.327612,2.30538,1.991917,1.453291,87,87,307
1.696176,1.413583,2.638151,2.444242,1.608573,87,87,308
1.424986,1.082438,2.566812,1.696524,1.198616,98,98,309
1.444486,1.084622,2.644033,1.776207,1.215463,99,99,310
2.52291,2.02349,4.187643,4.641142,2.518722,90,90,311
1.969006,1.402444,3.857545,3.597992,1.817818,93,93,312
2.959969,2.163098,5.616204,6.548217,2.992715,86,86,313
3.143464,2.282536,6.013224,7.058442,3.186086,87,87,314
2.662948,1.897285,5.215157,5.862791,2.647516,89,89,315
2.8817,2.045735,5.668251,6.451281,2.879217,90,90,316
1.390795,1.076813,2.437402,1.578178,1.171666,97,97,317
1.405788,1.082314,2.484036,1.632298,1.186365,98,98,318
2.300093,1.627682,4.541463,4.772854,2.222715,91,91,319
1.733639,1.123558,3.767242,3.42418,1.558811,94,94,320
4.465437,3.556851,7.494056,8.847009,4.557692,93,93,321
4.608491,3.638331,7.842355,9.283401,4.706317,94,94,322
4.63505,3.752152,7.578043,8.923526,4.73052,97,97,323
4.784041,3.834913,7.947803,9.381763,4.884317,98,98,324
2.33352,1.622696,4.702932,5.25601,2.31008,82,82,325
3.166505,2.283037,6.111401,7.11311,3.196834,84,84,326
2.975035,2.178438,5.630359,6.413618,2.979688,85,85,327
2.478803,1.887648,4.449322,4.797469,2.438155,86,86,328
2.333625,1.622748,4.703215,5.256368,2.310189,82,82,329
3.164158,2.281716,6.105632,7.108118,3.194819,83,83,330
2.972029,2.176333,5.624348,6.408469,2.977008,85,85,331
2.477302,1.886094,4.447992,4.796347,2.436683,86,86,332
2.333551,1.62274,4.70292,5.255995,2.310112,82,82,333
3.163885,2.281698,6.104508,7.107225,3.194635,83,83,334
2.972029,2.176333,5.624347,6.408469,2.977008,85,85,335
2.477625,1.886535,4.447926,4.79642,2.437054,86,86,336
2.333427,1.622674,4.702601,5.255605,2.309986,82,82,337
