H,N,C,O,P,S,Si,Ti,H+N,C+O,S+P,Si+Ti,H/N,C/O,S/P,Si/Ti,comp_number
1.00E-08,0.99999,9.99E-24,9.99E-21,9.09E-07,9.09E-06,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,1.00E+08,0.001,10,10,43
1.00E-08,0.99999,9.99E-24,9.99E-21,9.90E-08,9.90E-06,9.09E-21,9.09E-22,0.99999,1.00E-20,1.00E-05,1.00E-20,1.00E+08,0.001,100,10,44
0.99889,9.99E-05,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,0.0001,0.001,0.001,10,45
0.99889,9.99E-05,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,0.0001,0.001,0.001,100,46
0.99889,9.99E-05,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,0.0001,0.001,1,10,47
0.99889,9.99E-05,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,0.0001,0.001,1,100,48
0.99889,9.99E-05,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,0.0001,0.001,10,10,49
0.99889,9.99E-05,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,0.0001,0.001,10,100,50
0.99889,9.99E-05,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,0.0001,0.001,100,10,51
0.99889,9.99E-05,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,0.0001,0.001,100,100,52
0.989099,0.009891,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,0.01,0.001,0.001,10,53
0.989099,0.009891,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,0.01,0.001,0.001,100,54
0.989099,0.009891,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,0.01,0.001,1,10,55
0.989099,0.009891,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,0.01,0.001,1,100,56
0.989099,0.009891,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,0.01,0.001,10,10,57
0.989099,0.009891,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,0.01,0.001,10,100,58
0.989099,0.009891,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,0.01,0.001,100,10,59
0.989099,0.009891,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,0.01,0.001,100,100,60
0.499495,0.499495,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,1,0.001,0.001,10,61
0.499495,0.499495,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,1,0.001,0.001,100,62
0.499495,0.499495,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,1,0.001,1,10,63
0.499495,0.499495,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,1,0.001,1,100,64
0.499495,0.499495,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,1,0.001,10,10,65
0.499495,0.499495,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,1,0.001,10,100,66
0.499495,0.499495,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,1,0.001,100,10,67
0.499495,0.499495,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,1,0.001,100,100,68
0.009891,0.989099,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,100,0.001,0.001,10,69
0.009891,0.989099,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,100,0.001,0.001,100,70
0.009891,0.989099,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,100,0.001,1,10,71
0.009891,0.989099,9.99E-24,9.99E-21,5.00E-06,5.00E-06,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,100,0.001,1,100,72
0.009891,0.989099,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,100,0.001,10,10,73
0.009891,0.989099,9.99E-24,9.99E-21,9.09E-07,9.09E-06,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,100,0.001,10,100,74
0.009891,0.989099,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,100,0.001,100,10,75
0.009891,0.989099,9.99E-24,9.99E-21,9.90E-08,9.90E-06,0.00099,9.90E-06,0.99899,1.00E-20,1.00E-05,0.001,100,0.001,100,100,76
9.99E-09,0.99899,9.99E-24,9.99E-21,9.99E-06,9.99E-09,0.000909,9.09E-05,0.99899,1.00E-20,1.00E-05,0.001,1.00E+08,0.001,0.001,10,77
